doc_id,text_ocr
corpus-test-17,"Food and Drug Administration FDA Amendments Act of 2007 (FDAAA) Signed into law September 27, 2007 Section 901 of the Act adds section 505(o)(4) to the Federal Food, Drug, and Cosmetic Act Authorizes FDA to require safety labeling changes for the following products: — Prescription drugs with an approved NDA Biological products with an approved BLA Prescription drugs with an approved ANDA (if the reference listed drug is not currently marketed)"
corpus-test-18,"Regulatory Authority FDA 505(o)(4): FDA can require, and if necessary, order labeling changes if FDA becomes aware of New Safety Information that FDA believes should be included in the labeling of a drug. What is ""New Safety Information?"" — 505-1(b) defines it as ""information derived from a clinical trial, an adverse event report, a postapproval study, peer reviewed biomedical literature, data derived from postmarket risk identification and analysis system, or other scientific data deemed appropriate by FDA"""
corpus-test-19,"FD What Can be Changed? HIGHLIGHTS OF PRESCRIBING INFORMATION -DOSAGE FORMS AND STRENGTHS These highlights do not include all the information needed to use Dosage form(s): strength(s) (3) PROPRIETARY NAME safely and effectively. See full prescribing information for PROPRIETARY NAME. .-CONTRAINDICATIONS Text (4) PROPRIETARY NAME (nonproprietary name) dosage form, route • Text (4) of administration, controlled substance symbol Initial U.S. Approval: YYYY WARNINGS AND PRECAUTIONS- Text (5.x) WARNING: TITLE OF WARNING Text (5.x) See full prescribing information for complete boxed warning. -ADVERSE REACTIONS Text (4) Most common adverse reactions (incidence > x%) are text (6.x) Text (5.x) To report SUSPECTED ADVERSE REACTIONS, contact name of manufacturer at toll-free phone # or FDA at 1-800-FD"
corpus-test-20,"Warnings and Precautions FD Intended to identify and describe a discrete set of adverse reactions and other potential safety hazards that are serious or are otherwise clinically significant. To include the adverse event in this section there should be reasonable evidence of a causal association, but a causal relationship need not have been definitively established."
corpus-test-21,"Serious or D Otherwise Clinically Significant Serious Otherwise Clinically Significant Death Indication Life-threatening adverse event Seriousness relative to the disease or condition Inpatient hospitalization or treated prolongation of existing Incidence hospitalization — High absolute risk or rate of occurrence A persistent or significant incapacity Other or substantial disruption of the ability Potential serious outcome unless regimen is adjusted to conduct normal life functions Reaction that can be managed with appropriate A congenital anomaly or birth defect patient selection, monitoring, and prevention or management is needed to avoid potentially serious Based on appropriate medical judgement, outcome may jeopardize the patient and require An adverse reaction that can significantly a"
corpus-test-23,FDA OPIOID CRISIS AND OPIOID USE DISORDER (OUD)
corpus-test-24,"Causal Association? FDA Factors Findings 1. Frequency of Reporting Hundreds of cases 2. Adverse event rate in the drug treatment group (n/a, no clinical trial data found explored this exceeds the rate in the placebo and active-control adverse event) group in controlled trials? 3. Evidence of a dose-response relationship Possibly, though cases may have been more closely tied to dosing frequency than dose 4. Extent to which the adverse event is consistent Strong biological plausibility for the sublingual with the pharmacology of the drug dosage form 5. Temporal association between drug Case descriptions often had reliable information on administration and event dental health prior to starting treatment 6. Existence of dechallenge and rechallenge (n/a, very little information on experience de"
corpus-test-26,Regulatory Decision FDA These cases of dental caries were determined to be serious and otherwise clinically significant The totality of evidence provided reasonable evidence of a causal association between the drug in this dosage form and the adverse event This type of adverse event has implications for prescribing decisions and for patient management A new Warnings and Precautions statement was warranted
corpus-test-27,FDA REGULATORY ACTION
corpus-test-30,"Labeling - 5 Warnings and Precautions FDA (second paragraph) Refer patients to dental care services and encourage them to have regular dental checkups while taking TRADENAME. Educate patients to seek dental care and strategies to maintair or improve oral health while being treated with transmucosal buprenorphine-containing products. Strategies include, but are not limited to, gently rinsing teeth and gums with water then swallowing after TRADENAME has been completely dissolved in the oral mucosa. Advise patients to wait at least one hour after taking TRADENAME before brushing teeth[see Dosing and Administration (2.x), Information for patients (17) Medication Guide]."
corpus-test-34,"Opioid Crisis FDA Opioid crisis declared a Public Health Emergency on October 26, 2017 ""Crisis"" is a broad term covering many aspects 0 the public health issue: — Misuse and Abuse — Addiction (Opioid Use Disorder (OUD)) — Overdose - Death"
corpus-test-35,FDA COMMUNICATIONS PLAN AND PUBLIC RECEPTION
corpus-test-36,FDA warns about dental problems with buprenorphine medicines dissolved in the FDA mouth to treat opioid use disorder and pain Benefits for use outweigh these risks and oral care can help f Share X Pest in Linkedin Email Print Espafiol Drug Safety Podcast 1-12-2022 FDA Drug Safety Communication Drug Safety Communication (PDF - 94 KB) What safety concern is FDA announcing? Communications V What is FDA doing? What is buprenorphine and how can it help me? V Plan What should patients and caregivers do? What should health care professionals do? What did FDA find? What is my risk? How do I report side effects from buprenorphine? V How can I get new safety information on medicines I'm prescribing or taking? Facts about buprenorphine Additional Information for Patients and Caregivers V = Additional
corpus-test-40,"Summary FDA . The U.S. is still in an opioid overdose crisis, but treatments, like transmucosal buprenorphine for opioid use disorder are available FDA detected a signal involving transmucosal buprenorphine and dental caries, reviewed the scientific information FDA's review off the safety signal determined that the dental caries were serious, otherwise clinically significant, and there was reasonable causal association between the drug and the event; thus a new Warnings and Precautions statement was added to TMB products, per FDA's authority Healthcare providers can help by being aware of this adverse event, discussing with their patients, monitoring for such events, and encouraging regular dental checkups while on TMB."
corpus-test-41,FDA Q& A PANEL
corpus-test-42,"Q&A Panelists FDA Samantha Cotter, PharmD, BCPS, FISMP Safety Evaluator Division of Pharmacovigilance Office of Surveillance and Epidemiology Monisha Billings, DDS, MPH, PhD Team Lead / Epidemiologist Safety, Policy, Research, and Initiatives Office of New Drugs - Immediate office Lachary IIIg, DO Medical Officer Division of Anesthesiology, Addiction Medicine, and Pain Medicine New Drugs"
corpus-test-43,"References FDA Haffajee, R. L., and R. G. Frank. 2018. 'Making the Opioid Public Health Emergency Effective', JAMA Psychiatry, 75: 767-68. Ciccarone, D. 2021. 'The rise of illicit fentanyls, stimulants and the fourth wave of the opioid overdose crisis', Curr Opin Psychiatry, 34: 344-50. American Psychiatric Association (2013). Diagnostic and Statistical Manual of Mental Disorders, Fifth Edition,. Washington, DC, American Psychiatric Association. Saunders, E. C. 2022. 'Flexible Buprenorphine/Naloxone Treatment Models: Safe and Effective in Reducing Opioid Use Among Persons With Prescription Opioid Use Disorder', Am J Psychiatry, 179: 699-701. Dowell D, Brown S, Gyawali S, et al. Treatment for Opioid Use Disorder: Population Estimates — United States, 2022. MMWR Morb Mortal Wkly Rep 2024;73:"
corpus-test-45,"Overdose Deaths FDA 107,941 drug Figure 1. Age-adjusted rate of drug overdose deaths, by sex: United States, 20022022 overdose deaths 50 occurred in 2022 Deaths per 100,000 standard population 40 - 32.6 deaths per Total² 30 100,000 people 20 Male1.2 Age-adjusted rate 10 Female² quadrupled from C 2002 2004 2006 2008 2010 2012 2014 2016 2018 2020 2022 2002-2022 from National Center on Health Statistics: https:/www.cdc.gov/nchs/products/databriefs/db491.htm (SOURCE: National Center for Health Statistics, National Vital Statistics System, mortality data file)"
corpus-test-47,FDA U.S. FOOD & DRUG ADMINISTRATION
corpus-test-48,"Current Landscape of Opioid-involved Deaths FDA Heroin Figure 4. Age-adjusted rate of drug overdose deaths involving 2021 = 2.8/100k opioids, by type of opioid: United States, 20022022 2022 = 1.8/100k Natural & semi-synthetic 25 2021 = 4.0/100k 2022 = 3.5/100k Deaths per 100,000 standard population 20 Methadone 2021 = 1.1/100k 15 2022 = 1.0/100k Synthetic opioids other than Synthetic opioids other than methadone1 methadone, which includes 10 fentanyl, fentanyl analogs, and tramadol 5 Heroin3 Natural and semisynthetic opioids 2002 = 0.4/100,000 Methadone4 2013 = 1.0/100,000 0 2022 = 22.7/100,000 2002 2004 2006 2008 2010 2012 2014 2016 2018 2020 2022 from National Center on Health Statistics: https:/www.cdc.gov/nchs/products/databriefs/db491.htm (SOURCE: National Center for Health Statistics"
corpus-test-49,"FDA Opioid Use Disorder (DSM-5) At least 2 of the following within a 12-month period: 1 Opioids are often taken in larger amounts or over a longer period of time than intended. Mild = 2-3 2 There is a persistent desire or unsuccessful efforts to cut down or control opioid use. 3 A great deal of time is spent in activities necessary to obtain the opioid, use the opioid, Moderate = 4-5 or recover from its effects. 4 Craving, or a strong desire to use opioids. Severe 6 or more 5 Recurrent opioid use resulting in failure to fulfill major role obligations at work, school or home. 6 Continue opioid usdespite havig persistentorrecrrent socal nterpersonal problems cause or exacerbated byhe effecs s 7 Important social, occupational or recreational activities are given up or reduced because of opioi"
corpus-test-50,"Need for Treatment FDA •In 2022, estimated six million people in the US had an opioid use disorder •Estimated 3.7% of US adults need OUD treatment Need Medications for the treatment of opioid use disorder (MouD) decrease opioid- related mortality and overdose •Evidence-based treatment is a pillar of the Department of Health and Human Utility Services Overdose Prevention Framework Three FDA-approved treatments for OUD Naltrexone •Methadone Availability Buprenorphine"
corpus-test-51,"Buprenorphine FDA Brief regulatory history A New Era of OUD Treatment 1982: Original approval for pain 2002: Approval for OUD The Drug Addiction Treatment Often found in combination with naloxone Act of 2000 is no longer in effect •Available sublingual tablets and films As of June 2023, all DEA- -TMB = transmucosal buprenorphine registered prescribers of Also as subcutaneous implant, extended-release injection controlled substances must 2015: new formulations and dosing regimens approved for pain complete 8 hours of training on MOUD Mechanism of Action This greatly increases the Partial agonist a mu-opioid receptor number of possible prescribers Antagonist at kappa receptor and hopefully increases access"
corpus-test-52,"FDA Update: 2018 Douglas C. Throckmorton MD Deputy Director for Regulatory Programs CDER, FDA American College of Surgeons May 21, 2018"
corpus-test-53,The opinions and information in this presentation are my own and do not necessarily reflect the views and policies of the FDA
corpus-test-54,"FDA Summary and Conclusions FDA working to address opioid epidemic as a part of the larger HHS response One of the FDA's very highest priorities Going forward, FDA is committed to taking decisive actions, grounded in the available science and appropriate public input to address this critical challenge to the US health and welfare Collaboration with professional societies an other stakeholders is essential to successfully meeting this challenge Our focus is addressing opioid abuse while assuring appropriate access to effective pain treatment"
corpus-test-56,"Drug Overdose Deaths FDA Drugs Involved in U.S. Overdose Deaths, 2000 to 2016 25,000 20,000 Synthetic Opioids other than Methadone, 20,145 Heroin, 15,446 15,000 Natural and semi- synthetic opioids, 14,427 Cocaine, 10,619 10,000 Methamphetamine, 7,663 5,000 Methadone, 3,314 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 Drugs Involved in U.s. Overdose Deaths"" - Among the more than 64,ooo drug overdose deaths estimated in 2016, the sharpest increase occurred among deaths related to fentanyl and fentanyl analogs (synthetic opioids) with over 20,O00 overdose deaths. Source: CDC wONDER 3"
corpus-test-58,"Overdose Death Rates 1999 2014 Year 2014 eath Rate per 100,000: imated Age-adjusited 11-10 0.1-12 21-14 14.1-16 16.1-18 18.1-20 >20 Designed by L. Rossen, B. Bastian & Y. Chong. SOURCE: CDC/NCHS, National Vital Statistics Science System"
corpus-test-59,"FDA Response to this Crisis ""Unquestionably, our greatest immediate challenge is the problem of opioid abuse. This is a public health crisis of staggering human and economic proportion ... we have an important role to play in reducing the rate of new abuse and in giving healthcare providers the tools to reduce exposure to opioids to only clearly appropriate patients, so we can also help reduce the new cases of addiction."" Scott Gottlieb, FDA Commissioner Address to FDA staff, May 15, 2017"
corpus-test-60,"Available FDA Tools to FDA Accomplish These Goals Improving the safe use of drugs through careful and appropriate regulatory activities Improving the safe use of drugs through careful and appropriate policy development Improving product develoment through improved science Improving the safe use of drugs through communication, partnership and collaboration"
corpus-test-61,Responding to Challenges: Opioids
corpus-test-62,"The Opioid Crisis: FDA's Priorities & Strategies 1. Decreasing Exposure & Prevent New Addiction Appropriate Dose/Duration Labeling Appropriate Packaging, Storage, and Disposal Health Care Provider 2. Supporting the Treatment of Those With Opioid Use Disorder Naloxone Medication Assisted 3. Fostering the Development of Novel Pain Treatment Therapies Partnerships & Meetings Abuse Deterrent Formulations (ADFs) Pain Treatment Alternatives 4. Improving Enforcement & Assessing Benefit-Risk Improving Enforcement Assessing Benefit-Risk"
corpus-test-63,TofTties aiigh to HHs Strategic Priorities and other National Activities HHS STRATEGIC FDA PRIORITIES OTHER Strengthening public President's Opioid health surveillance Initiative 1. Decreasing Exposure & Prevent New Addiction Office of National Drug Targeting availability and distribution of overdose- Control Policy reversing drugs 2. Supporting the Treatment Recommendations of Those With Opioid Use Disorder Comprehensive Supporting cutting Addiction and Recovery edge research 3. Fostering the Act (CARA) Development of Novel Improving access to Pain Treatment Therapies National Pain Strategy treatment and recovery Recommendations services 4. Improving Enforcement & Assessing Advancing the Benefit-Risk National Public practice of pain Health Emergency management
corpus-test-64,"FDA U.S. FOOD & DRUG ADMINISTRATION The Public Health Role of Drug Regulation in the US Douglas C. Throckmorton, M.D. Deputy Director for Regulatory Programs, CDER, FDA March 20, 2017"
corpus-test-66,"Notable Disasters Before 1938 FDA Dinitrophenol - weight loss drug, caused thousands of cataracts, enucleations in the 1930's. Elixir sulfanilamide - sulfa drug killed over 100 people in 1937, many of them children; diethylene glycol (anti- freeze) was the solvent. No animal testing. A chemist simply smelled and tasted the elixir. These events led to"
corpus-test-68,"FD Next Major Turning Point: Thalidomide 1,200 U.S.DOCTORS GOT BANNED PILL FOR TESTS Thalidomide, the sleeping pill'that has caused thou- sands of infant malformations in Europe had been dis- tributed to 1,200 physicians in the United States for investigational use since 1959, before it was banned in the United States. This figure has been supplied by the William S. Merrell Co. of Cincinnati, manufacturer of the drug, to the Food and Drug Administration here. FDA inspec- tors are now checking the physicians to make sure they have returned or destroyed their supplies of the drug, as requested by the Merrell Company in March. The investigational use of the drug in the United States dates to 1959. It is not known by FDA if the drug was used experimentally during early pregnancy, the critical "
corpus-test-69,"The Age of Effectiveness: FDA The 1962 Kefauver-Harris Amendments Not obvious why thalidomide (a safety problem) led to a requirement for demonstrating effectiveness, but the 1962 Act made at least 3 important changes: 1. FDA had to give positive approval before a drug could be marketed 2. A meaningful requirement to study drugs under an IND and an explicit requirement for informed consent (one year before the Dr. Francis Kelsey Declaration of Helsinki). received the President's 3. The effectiveness requirement Award for Distinguished Federal Civilian Service 14"
corpus-test-70,Since 1962: The Era of the RCT FDA and the Value of Empiric Testing Growth of the medical product development enterprise - Non-clinical models of disease — Statistics of trials assessment Placebo- and Active-controls — Clinical efficacy and safety assessment Sobering experiences where predicted impact of new therapies was badly wrong: — Autologous bone marrow transplantation for treating breast cancer — Suppression of PVCs with anti-arrhythmics — Health effects of chronic non-steroidal use
corpus-test-71,"Context: FDA New Realities in the 21st Century Previously we lacked effective treatments for most life- threatening illnesses Today many more treatments are available, but patterns of manufacturing, public scrutiny of healthcare, and information available to guide use have shifted dramatically. Patients and clinicians need: - New products sooner - Accurate, up-to-date and understandable information Result: increased public and Congressional scrutiny of CDER's decisions"
corpus-test-72,"FDA's Challenges for FDA the 21st Century Supporting Innovation and Advances in Science and Technology Better understanding of the mechanisms of disease and human biology Advances in biomedical engineering Increasingly complex products; challenges for development, as well as assessment of safety, efficacy and quality New Authorities and responsibilities given us by Congress Food Safety Modernization Act Food and Drug Administration Safety and Innovation Act Drug Quality and Security Act Globalization - Just as disease knows no borders, product safety and quality no longer know any borders - We live in an increasingly complex, global regulatory landscape. 17"
corpus-test-73,"FDA The FDA Today: Embracing Science- Driven Regulation and Innovation Maintaining the Balance The task for FDA's scientist is to strike the right regulatory balance - between providing fast access to new products the one hand, and preventing harm to public health on the other When done right, regulation can be a pathway to achieve meaningful and lasting innovation, allowing FDA to deliver on the promise of science in the service of patients, consumers, and industry"
corpus-test-74,FDA Critical Part of FDA Work: Sustaining Medical Product Innovation High failure rates for drug development Rising R & D costs A limited pipeline of potential drugs A lack of basic information about the causes of the disease and the pathways for slowing its progress
corpus-test-75,"R & D Process LARGE FDA DRUG PRE CLINICAL TRIALS SCALE CLINICAL REVIEW DISCOVERY MFG PRE-DISCOVERY 5,000-10,000 250 5 ONE COMPOUNDS FDA- APPROVED DRUG NDA SUBMITTED TO FDA PHASE 1 PHASE 2 PHASE 3 Number of Volunteers 20-100 100-500 1000-5000 6-7 YEARS 0.5-2 3-6 YEARS YEARS"
corpus-test-76,FDA FDA's Regulatory Scope: 20 cents of every GDP dollar W W 120. 800
corpus-test-77,FDA Improving Evidence Generation Essential Clinical Expertise Patient Best Research EBP Values & Preferences Evidence
corpus-test-78,"FDA Changes are Needed to Our National Clinical Research System High percentage of decisions not supported by evidence* Health outcomes and disparities are not improving Current system is great except: Too slow, too expensive, and not reliable Doesn't answer questions that matter most to patients Unattractive to clinicians & administrators We are not generating the evidence we need to support the healthcare decisions that patients and their doctors have to make every day. Tric0ci P et al. JAMA 2009;301:831-41"
corpus-test-79,"FDA We Need An Efficient Evidence Generation System.... More data available than ever in new forms Much more of clinical practice could be guided by high quality evidence Clinicians and their practice organizations could focus on interpreting the evidence and applying it The role of opinion and expertise would be at least as important, but it would be put to a much higher purpose—providing precision healthcare"
corpus-test-80,"Many Stakeholders in Clinical Trials Enterprise Regulaton Academia Agencies Drug Develop ment Federal Partners Conso rtia Patient Groups, Foundati ons, and Professi onal Societies"
corpus-test-81,Critical Part of FDA Work: the FDA Challenges of Globalization to Product Quality and Development When FDA was established more than a century ago: - Our regulated industries were predominantly local - The volume of imported produce was low - The movement of good across country (and between countries) was minimal
corpus-test-82,"FDA The Global Drug Manufacturing Supply Chain Imported Finished Drug Ingredients Ingredients Manufacture of Ingredients Finished Drug Active (API) ingredient (APl) made in China and ingredients made in Europe, Japan, or the U.S. These components may shipped to India where the finished drug is manufactured and then imported into the U.S. for distribution."
corpus-test-85,"FDA Imports Continue to Increase Food Approximately 49% of fresh fruits and 25% of vegetables are imported 89% of seafood eaten domestically comes from outside the United States Devices Based on dollar values, at least 35% of all medical devices used in the United States are imported Drugs/Biologics 80% of Active Pharmaceutical Ingredient manufacturers are located outside the United States - Based on dollar values, more than 40% of biologics are imported 40% of finished drugs come from overseas 29"
corpus-test-86,"The Impact of Globalization FDA on FDA's Mission Foreign production of FDA-regulated goods and materials has exploded over the last decade FDA-regulated products originate from more than: 150 countries 130,000 importers 300,000 foreign facilities Number of FDA-regulated shipments at 300 U.S. ports has more than doubled during the last ten years. From 2006, shipments of imported food and medical products crossing our borders went from approximately 15 million to 34 million"
corpus-test-87,"FDA FDA Mission FDA is responsible for protecting the public health by assuring the safety, efficacy, and security of human and veterinary drugs, biological products, medical devices, our nation's food supply, cosmetics, and products that emit radiation."
corpus-test-88,"Critical Part of FDA Work: FDA Responding to New Challenges Public health challenges need to be addressed promptly and fully as they arise Part of FDA mission -- 'Protect and Promote' Contaminated compounded steroids and heparin Prescription opioid abuse Complex medical, social, scientific issue Over 15,000 overdose deaths in US last year associated with opioid use"
corpus-test-89,"Overdose Death Rates 1999 2014 Year 2014 Estimated Age-adjusted Death Rate per 100,000: 0-2 2.1-4 4.1-6 6.1-8 8.1-10 |10.1-12 12.1-14 14.1-16 16.1-18 18.1-20 >20 >20 igned by L. Rossen, B. Bastian & Y. Chong. SOURCE: CDC/NCHS, National Vital Statistics System Science = Solutions"
corpus-test-90,Important: FDA One of Many Stakeholders FDA evaluates benefits/risks for the population Benefits Risks Provider evaluates FRR benefits/risks BBBB for a patient BBBB Risks Benefits Patient Benefits Risks evaluates benefits/risks in terms of personal values
corpus-test-91,FDA Organization FDA Office of the Commissioner Office of Regulatory Affairs Center for Center for National Center for Center for Center for Veterinary Food Center for Center for Drug Biologics Devices & Medicine Safety & Toxicological Tobacco Evaluation Applied Evaluation & Radiological Research & Research Nutrition Research Health
corpus-test-92,"FDA FDA's Current Resources Total annual budget $4.39 billion for FY 2014 User Fees - $1.83 billion, approximately 42% of total Appropriated Funds - $2.56 billion, about $8 per citizen 15,705 FTEs, 77% with college degrees, 21% with doctorates 223 U.S. offices and 13 laboratories 11 international offices and posts in 8 countries 35"
corpus-test-93,"Who Works at FDA? FDA Chemists - review the drug substance, product, and manufacturing process Biologists - review biological products Toxicologists - review the non-clinical studies Pharmacologists - review drug pharmacokinetics, exposure-response, drug-drug interactions Statisticians - review all types of studies; design and analysis Physicians & Pharmacists - review clinical protocols, safety and efficacy data Manufacturing science specialists Engineers Project managers - the glue that holds us all together 36"
corpus-test-95,FDA What is the Role of the Regulator in Responding to Public Health Challenges and Supporting Innovation?
corpus-test-96,"FDA: First Focused on Core Business Functions Pre-Market Review Product Safety & Compliance Assessment of safety Inspection of and effectiveness of manufacturing facilities new medical and products to assure technology & safety, quality & safety of new food compliance with FDA ingredients regulations Consumer & Patient Safety Post-marketing surveillance to ensure the safety of consumers & patients who use FDA- regulated products 39"
corpus-test-97,"FDA 5 ""Moral Imperatives"" of Government Regulation GOVT. REGULATIONS Protect the Public from Harm Preserve Maximum Individual Freedom of Choice Guarantee Meaningful Public Participation in the Decision-Making Process Promote Consistent and Dependable Rules that are Equally Applicable to Everyone Provide Prompt Decisions on All the Issues that Arise in a Regulatory Context ---Peter Barton Hutt: Five Moral Imperatives of Government Regulation, in The Hastings Center report, February 1980 40"
corpus-test-98,"FDA FDA Mission FDA is also responsible for advancing the public health by helping to speed innovations that make medicines more effective, safer, and more affordable and by helping the public get the accurate, science- based information they need to use medicines and foods to maintain and improve their health. FDA also has responsibility for regulating the manufacturing, marketing and distribution of tobacco products to protect the public health and to reduce tobacco use by minors. 5"
corpus-test-99,"FDA Role for the FDA Beyond These Core Functions to Aid Innovation We are uniquely situated to contribute to innovation: - Legal role in application of regulations — Focus on public health mission — Regulators in unique position to see needs across disease areas — Regulators in unique position to respond to needs — Regulators have identified obligation to support improved regulation, aided by harmonization/convergence"
corpus-test-100,"Role for the FDA Beyond FDA These Core Functions to Aid Innovation Expanded FDA role — c/w mission: ..'promote' the availability of novel medical therapies for the US population Provide clear roadmap to speed development — Guidances on innovative approaches: Adaptive Trial Designs, Use of Meta-Analysis Tools - Drug Development Tools: Patient-Reported Outcomes, Biomarkers, Animal Models — Meetings targeted at supporting innovation"
corpus-test-101,"Role of the Regulator: FDA Supporting Continued Progress Invest in appropriate collaborative partnerships: interdependence is the reality - Broaden the conversations beyond usual partners and topics for models and expertise Acknowledge differences exist (e.g., between regulators, regulations, needs, values) Build opportunities to harmonize existing knowledge, databases and standards Be prepared to question assumptions"
corpus-test-102,WARNING S CHALLENGES AHEAD
corpus-test-103,"FDA Summary/Conclusions This is a transformational time in healthcare. Expectations, resources, and challenges all changing FDA has a clear and understood role to support our public health mission, including the need to support change and innovation, while remaining true to our historic mission - Transparency, focus, collaboration, and flexibility are essential for success"
corpus-test-105,FDA U.S. FOOD & DRUG ADMINISTRATION
corpus-test-106,"FDA FDA Mission Finally, FDA plays a significant role in the Nation's counterterrorism capability. FDA fulfills this responsibility by ensuring the security of the food supply and by fostering development of medical products to respond to deliberate and naturally emerging public health threats."
corpus-test-107,"FDA A Brief History of FDA Regulation and Its Impact on Good Science 1890s - Discovery of diptheria antitoxin gave rise to increased production 1901 -- Problems from both public and commercial labs, especially tetanus deaths from contaminated diphtheria antitoxin and smallpox vaccine 1902 - Passage of Biologics Control Act"
corpus-test-109,FDA 1902 Biologics Control Act Scientifically trained staff must supervise production of these medicines Licensing of facilities by PHS Inspections of establishments and testing of biologics for purity and potency Standards issued for products Enhanced scientific legitimacy on firms and their products Scientific infrastructure mandated under the law helped promote new product development.
corpus-test-111,"FDA U.S. FOOD & DRUG ADMINISTRATION STATE OF OGD: Pivoting to GDUFA II Kathleen Uhl, MD Director, Office of Generic Drug CDER/FDA AAM Fall Technical Conference November 6, 2017"
corpus-test-112,"FDA Disclaimer This presentation reflects the views of the speaker and do not reflect official FDA, HHS, or other government opinion or policy. I have nothing to disclose. FY2017 data represent preliminary data that are being further reviewed and validated for official reporting purposes. October 1, 2017 used as cut-off."
corpus-test-113,"FDA To date, FDA has met or exceeded EVERY formal negotiated GDUFA goal"
corpus-test-114,"FDA Original ANDAs GDUFA goal: incremental increasing % meeting shorter review goals over Years 3, 4, and 5* FDA acted on: - Cohort Year 3 - 97% GOAL - 60% within 15 months of submission - Cohort Year 4 - 100% GOAL - 75% within 15 months of submission** - Cohort Year 5 - 99% GOAL - 90% within 10 months of submission** *Updated 10/1/2017. Numbers are based on preliminary data that will be reviewed and validated for official reporting purposes. Cohort Year 4 (FY2016) — Some are still under review and within goal; all mature by December 31, 2017. Cohort Year 5 (FY2017) — Many are still under review and within goal; all mature by July 31, 2018."
corpus-test-115,FDA Total ANDA Regulatory Actions per Month (AP+TA+CR+RTR) 300 290 269 78 250 266 245 249 249 241 239 243 243 223 225 230 229 225 227 200 206 189 192 193 186 178 173 50 00 50 0 Oct-15 Nov-15 Dec-15 Jan-16 Feb-16 Mar-16 Apr-16 May-16 Jun-16 Jul-16 Aug-16 Sep-16 Oct-16 Nov-16 Dec-16 Jan-17 Feb-17 Mar-17 Apr-17 May-17 Jun-17 Jul-17 Aug-17 Sep-17
