query_id,query_text
query-test-188,What are the responsibilities managed by the Office of Generic Drugs of the FDA?
query-test-189,Explain how the FDA's Office of Generic Drugs used workshops for advancing generic drug products.
query-test-192,What are the approved expedited programs from 2008 to 2016 by CDER for NME?
query-test-193,Summarize the steps involved in error reporting in ISMP's MERP.
query-test-197,Explain how did the FDA's refuse to receive percentage in FY 16 compare to FY 15.
query-test-198,What is a real-life example of the FDA's effort to expand pain treatment alternatives?
query-test-201,CDER's multifaceted approach during pandemic.
query-test-208,Is there a rise in CDER NME submissions from 2007 to 2008?
query-test-220,State the list of core principles of the FDA’s Framework for Benefit-Risk Counseling with REMS.
query-test-223,What is the difference in the expiry dates in months between Trizivir and Abacavir Sulfate?
query-test-225,What key industry groups were part of the proposed GDUFA II agreement with the FDA?
query-test-227,What is the percentage difference of CDER NME/BLA rare targeted therapies and CDER NME/BLA common targeted therapies during 1990-1992?
query-test-228,Does 'unit-of-use packaging' improve opioid analgesic safety?
query-test-233,Which act forms the basis of the biosimilar pathway?
query-test-235,"Does EBP combine clinical expertise, research evidence, and patient preferences to support informed, individualized care decisions?"
query-test-240,What are the six active initiatives under the FDA’s New Drugs Regulatory Program?
query-test-241,Is it correct that the MERP by ISMP allows users to upload the image of the product while filing the report?
query-test-243,What kind of consumer research is the FDA conducting for naloxone’s OTC transition?
query-test-244,What are three challenges faced by the pharma industry that were identified by the Center for Drug Evaluation and Research of FDA during the COVID-19 pandemic?
query-test-257,Explain how the FDA is modernizing drug development and manufacturing.
query-test-269,What is the percentage difference of non-rare approvals and rare approvals in the traditional development program?
query-test-271,What are the four responsibilities of the generic drug industry in its partnership model with the FDA?
query-test-275,Can real-world evidence improve inclusivity in clinical trials?
query-test-282,What is the implication of using only data from the interested subgroup for treatment effect estimation?
query-test-283,What is the purpose of the simplified ts.xpt file?
query-test-289,Summarize the efforts taken by the FDA to make compounded drugs accessible to a wider range of patients.
query-test-293,Were warning letters sent out by the FDA to Institutional Review Boards under the bioresearch monitoring program in the 2017 fiscal year?
query-test-308,Identify the number of synthetic opioid overdose deaths in August 2019.
query-test-310,Which law was created due to the sulfanilamide incident?
query-test-311,Is there a risk of transmitting drug-resistant organisms to a newborn through close contact with an MDRO-positive caregiver?
query-test-313,What is the difference between the number of formal meeting requests in the year 2018 and 2010?
query-test-314,What is the filing category that aligns with the USP of excipient identification removal Test C testing?
query-test-320,Summarize the benefits of the FDA's REMS program and why it was needed.
query-test-321,Describe the difference between L1 and L2 subgroup analysis perspective/frameworks.
query-test-326,What is the difference in the highest number of ANDAs received by FDA in a fiscal year before and after the introduction of GDUFA?
query-test-331,Was competition law in TRIPS initially associated with technology transfer?
query-test-335,How many patients receive high-impact chronic pain opioid prescriptions?
query-test-336,What percent of the drugs approved in 2018 are orphan drugs?
query-test-2055,Describe the Practices for Pharmacovigilance under the FDAAA 2007.
query-test-2059,"Discuss the unique points of opposition for Ritonavir, Lopinavir, and Atazanavir Sulphate. "
query-test-2064,"Enumerate the three focus areas for Bringing Therapies to Underserved Populations, and analyze the percentage of Rare Targeted Therapies in 1990-1992."
query-test-2068,"What are the levels in Active Risk Identification and Analysis, and how does ARIA system link to the requirement to consider its sufficiency before PMR?"
query-test-2071,"List down the objectives of the New Drugs Regulatory Program Modernization, and the Clinical Offices and Division Names."
query-test-2072,Discuss the utilization of oncological drugs across different expedited programs and the growth potential of novel endpoints in oncology.
query-test-2073,"What two specific failures cited for the EpiPen facility led to its violative status, and what is Firm B's Warning Letter number and date regarding adulterated drugs?"
